编码:  --------------------------- 000300 --------------  美联储突然宣布缩表.

缺口: 

日期        总成交量 总成交额  O        C        H        L        涨跌幅 沪股通   深港通
02.06(周二) 2.15亿   2794.15亿 4182.33  4148.88  4211.52  4131.56  -2.93% -73.7亿  -23.0亿  大幅低开震荡暴跌. 黑色星期二!美股暴跌引发A股暴跌!

02.05(周一) 1.61亿   2173.60亿 4204.46  4274.15  4274.15  4200.14  +0.07% -34.3亿  +1.66亿  大幅低开反弹震荡微涨. 上周五欧美各市场暴跌！

02.02(周五) 1.46亿   1911.70亿 4213.94  4271.23  4271.76  4181.78  +0.60% -11.6亿  +11.7亿  低开探底震荡收涨

02.01(周四) 1.90亿   2392.30亿 4276.34  4245.90  4287.39  4214.29  -0.70% -7.84亿  +12.1亿  微幅高开震荡收跌. 黑色星期四!

01.31(周三) 1.45亿   1944.02亿 4234.11  4275.90  4287.86  4232.77  +0.47% -2.09亿  +3.56亿  低开震荡收涨. 今日普跌， 二八行情!

01.30(周二) 1.39亿   1866.51亿 4286.68  4256.10  4308.51  4251.57  -1.07% -1.70亿  +7.01亿  低开震荡大跌. 今日普跌

01.29(周一) 1.91亿   2561.76亿 4387.06  4302.02  4395.90  4287.11  -1.81% -4.30亿  -2.83亿  高开震荡大跌. 黑色星期一!

01.26(周五) 1.77亿   2233.31亿 4352.22  4381.30  4403.34  4351.49  +0.37% +20.4亿  +11.4亿  低开震荡攀升收涨. 创新高!!

01.25(周四) 1.95亿   2503.08亿 4381.98  4365.08  4392.20  4336.24  -0.56% +14.9亿  +9.84亿  低开震荡收跌. 补:4338.48缺口.

01.24(周三) 2.20亿   2844.71亿 4389.45  4389.88  4397.82  4349.09  +0.17% -5.50亿  +9.80亿  高开震荡收涨.

01.23(周二) 2.02亿   2571.13亿 4346.89  4382.61  4383.57  4346.79  +1.06% +25.1亿  +3.49亿  高开震荡大涨.上行缺口: 4338.48

01.22(周一) 1.75亿   2339.60亿 4276.48  4336.60  4338.48  4275.90  +1.19% +11.5亿  +12.4亿  低开震荡大涨. 红色星期二.

01.19(周五) 2.09亿   2585.55亿 4281.94  4285.40  4316.57  4269.62  +0.33% +3.73亿  +8.44亿  高开震荡大涨.

01.18(周四) 1.72亿   2252.90亿 4259.38  4271.42  4292.64  4246.68  +0.55% +13.6亿  +6.34亿  高开震荡收涨.

01.17(周三) 2.14亿   2845.54亿 4261.78  4248.12  4283.34  4230.54  -0.24% -2.93亿  -3.51亿  高开震荡收跌. 高位放量！

01.16(周二) 1.61亿   2282.71亿 4215.62  4258.47  4260.21  4213.13  +0.79% +9.49亿  +15.9亿  低开震荡收涨.

01.15(周一) 1.71亿   2349.87亿 4229.84  4225.24  4262.93  4216.36  +0.01% -16.5亿  +0.09亿  高开震荡微涨(收平). 深市黑色星期一

01.12(周五) 1.11亿   1576.06亿 4205.14  4225.00  4227.39  4199.03  +0.46% +15.9亿  +6.93亿  微幅低开震荡收涨！

01.11(周四) 1.22亿   1704.07亿 4197.11  4205.59  4211.80  4181.96  -0.05% -0.77亿  +3.13亿  低开震荡微跌. 今天是八二行情.

01.10(周三) 1.51亿   1948.50亿 4187.20  4207.81  4211.05  4175.13  +0.44% +14.1亿  +3.20亿  低开震荡收涨.

01.09(周二) 1.39亿   1819.75亿 4157.54  4189.30  4191.28  4153.50  +0.70% +14.7亿  +16.0亿  低开震荡收涨.

01.08(周一) 1.74亿   2264.04亿 4140.85  4160.16  4166.32  4127.31  +0.52% +7.45亿  +11.8亿  高开震荡收涨.

01.05(周五) 1.49亿   1852.06亿 4133.34  4138.75  4151.28  4123.28  +0.24% +10.4亿  +15.7亿  高开震荡收涨.

01.04(周四) 1.35亿   1745.24亿 4114.12  4128.81  4137.64  4105.88  +1.35% +28.2亿  +17.0亿  微幅高开震荡收涨.

01.03(周三) 1.52亿   2057.27亿 4091.46  4111.39  4140.05  4088.73  +0.59% +26.9亿  +19.4亿  高开震荡大涨. 红色星期三.上行缺口: 4087.78

01.02(周二) 1.47亿   1784.02亿 4045.21  4087.40  4087.78  4045.21  +1.40% +21.1亿  +14.0亿  高开震荡大涨. 红色星期二.

12.29(周五) 9049万   1212.57亿 4022.88  4030.85  4043.14  4012.87  +0.30% +8.71亿  +7.70亿  高开震荡收涨.

12.28(周四) 1.19亿   1536.37亿 3993.00  4018.90  4036.70  3980.24  +0.69% +15.9亿  +14.6亿  微幅高开震荡收涨. 高位 量能放大.

12.27(周三) 1.05亿   1405.17亿 4045.28  3991.21  4047.74  3986.74  -1.54% +7.98亿  +1.30亿  低开震荡暴跌.

12.26(周二) 9112万   1197.25亿 4040.62  4053.62  4056.86  4015.30  +0.30% +7.40亿  +6.24亿  微幅低开震荡收涨.

12.25(周一) 9193万   1299.39亿 4057.42  4041.54  4086.93  4026.45  -0.32% +7.40亿  +6.24亿  高开震荡收跌.

12.22(周五) 7347万   1044.26亿 4064.91  4054.60  4076.80  4048.49  -0.33% +7.40亿  +6.24亿  低开震荡收跌. 沪港通数据没变？？

12.21(周四) 9684万   1378.20亿 4023.08  4067.85  4080.78  4014.65  +0.93% +7.40亿  +6.24亿  低开震荡大涨..

12.20(周三) 9060万   1268.13亿 4036.02  4030.49  4044.85  4015.63  -0.12% -5.17亿  -2.82亿  微幅高开震荡微跌.

12.19(周二) 7753万   1159.98亿 3985.82  4035.33  4035.63  3985.82  +1.26% +9.09亿  +8.02亿  微幅高开震荡大涨！ 红色星期二!

12.18(周一) 7785万   1117.24亿 3983.30  3985.29  4008.07  3967.93  +0.11% +15.4亿  +4.42亿  微幅高开震荡微涨..

12.15(周五) 8904万   1184.74亿 4018.73  3980.86  4020.27  3974.93  -1.12% -10.6亿  -14.6亿  低开震荡大跌. 黑色星期五！！

12.14(周四) 8077万   1150.87亿 4050.90  4026.15  4057.62  4013.85  -0.59% +2.48亿  +4.61亿  微幅高开震荡收跌.

12.13(周三) 7755万   1150.06亿 4013.83  4050.09  4052.69  4004.74  +0.85% +21.6亿  +8.57亿  微幅低开震荡收涨!

12.12(周二) 8434万   1235.15亿 4068.51  4016.02  4070.15  4015.45  -1.31% -4.86亿  -1.73亿  微幅低开震荡大跌. 黑色星期二!!

12.11(周一) 9715万   1484.77亿 4006.88  4069.50  4069.50  4005.27  +1.65% +10.7亿  +5.97亿  微幅高开震荡大涨. 红色星期一！！.

12.08(周五) 8928万   1243.71亿 3962.83  4003.38  4014.14  3955.44  +0.81% +29.2亿  +10.7亿  开震荡大涨！.

12.07(周四) 9025万   1196.51亿 4003.58  3971.06  4017.95  3955.99  -1.11% -8.50亿  -6.25亿  低开震荡大跌. 黑色星期四!

12.06(周三) 1.09亿   1441.15亿 4027.12  4015.82  4031.75  3964.81  -0.60% -38.3亿  -0.20亿  低开震荡收跌. 大盘股跌的厉害！！

12.05(周二) 1.54亿   1963.38亿 4007.94  4040.17  4045.93  4006.54  +0.53% -27.1亿  -4.17亿  低开震荡收涨. 黑色星期二, 二八分化, 小盘股跌惨了!!!.

12.04(周一) 1.03亿   1382.23亿 3989.05  4018.86  4032.99  3982.32  +0.52% -3.02亿  +2.79亿  低开震荡收涨..

