编码:  --------------------------- 000300 --------------  美联储突然宣布缩表.

缺口: 

日期        总成交量 总成交额  O        C        H        L        涨跌幅 沪股通   深港通
2016.11.10(周四)   沪深300(000300) 1.35亿       1332.77亿      3374.91   3390.61    3403.01    3374.91   +16.4亿  超跌反弹. 放量

2016.11.09(周三)   沪深300(000300) 1.39亿       1451.87亿      3370.60   3353.05    3373.10    3322.08   -40.0亿  放量大跌,反弹收跌.美总统特朗普**

2016.11.08(周二)   沪深300(000300) 1.03亿       1051.38亿      3367.70   3371.12    3383.92    3361.13   +3.72亿  量能放大, 冲高回落收涨

2016.11.07(周一)   沪深300(000300) 9987万       943.71亿       3353.44   3356.59    3362.74    3342.31   +1.03亿  量能回缩,震荡微涨

2016.11.04(周五)   沪深300(000300) 1.04亿       1108.14亿      3362.21   3354.17    3377.64    3348.43   -1.60亿  量能放小,冲高回落,震荡微跌,次新股跌

2016.11.03(周四)   沪深300(000300) 1.26亿       1373.86亿      3326.90   3365.08    3379.99    3324.84   -3.50亿   量能放大,震荡大涨, 基建,券商大涨

2016.11.02(周三)   沪深300(000300) 9119万       1003.49亿      3350.71   3333.35    3356.40    3331.38   -9.46亿   量能放大,震荡下跌

2016.11.01(周二)   沪深300(000300) 7493万       847.18亿       3338.71   3359.05    3359.39    3334.46   +4.63亿   震荡上涨

2016.10.31(周一)   沪深300(000300) 7135万       807.02亿       3332.41   3336.28    3340.47    3317.33   +2.33亿   震荡微跌

2016.10.27(周四)   沪深300(000300) 7762万       852.41亿       3351.46   3345.70    3352.35    3335.13   -5.40亿   缩量震荡微跌

2016.10.26(周三)   沪深300(000300) 9802万       1047.19亿      3367.20   3354.80    3367.83    3349.57   +3.01亿   

2016.10.25(周二)   沪深300(000300) 1.11亿       1105.77亿      3367.48   3367.45    3373.91    3356.58   +9.56亿   缩量调整,十字星

2016.10.24(周一)   沪深300(000300) 1.53亿       1500.63亿      3332.51   3367.58    3382.82    3330.97   +8.65亿   放量大涨, 大盘股启动

2016.10.21(周五)   沪深300(000300) 1.1亿        1071.15亿      3315.72   3327.74    3341.56    3309.18   +0.00亿   放量微涨,央企概念    

2016.10.20(周四)   沪深300(000300) 7923万       824.81亿       3317.18   3318.60    3324.90    3312.17   +5.14亿   缩量微涨    

2016.10.19(周三)   沪深300(000300) 1.01亿       963.54亿       3323.30   3316.24    3332.52    3309.83   +4.17亿     

2016.10.18(周二)   沪深300(000300) 1.03亿       1046.25亿      3272.68   3321.33    3321.33    3272.68   +7.58亿     

2016.10.17(周一)   沪深300(000300) 8611万       881.99亿       3305.96   3277.88    3307.01    3271.54   -1.44亿     

2016.10.13(周四)   沪深300(000300) 8122万       799.24亿       3299.16   3302.65    3307.41    3292.40   -4.65亿     

2016.10.12(周三)   沪深300(000300) 6866万       723.87亿       3299.14   3300.01    3302.56    3289.75   -5.27亿    缩量微跌 

2016.10.11(周二)   沪深300(000300) 8771万       882.13亿       3296.87   3306.56    3308.00    3292.88   +10.4亿  

2016.10.10(周一)   沪深300(000300) 8051万       896.08亿       3265.36   3293.87    3294.64    3258.96   +0.00亿  

2016.09.30(周五)   沪深300(000300) 4497万       522.56亿       3240.18   3253.28    3260.94    3239.04   +0.00亿

2016.09.29(周四)   沪深300(000300) 5545万       622.20亿       3234.86   3244.39    3257.77    3234.80   +5.87亿

2016.09.28(周三)   沪深300(000300) 4472万       519.96亿       3243.65   3230.89    3243.65    3228.00   -1.06

2016.09.27(周二)   沪深300(000300) 5846万       666.51亿       3214.87   3240.75    3240.77    3214.44   -2.22

2016.09.26(周一)   沪深300(000300) 7045万       787.01亿       3267.69   3220.28    3267.69    3220.28   -3.31亿 补缺口1.光头光脚大阴, 向下缺口2 3275.02

2016.09.23(周五)   沪深300(000300) 5799万       680.46亿       3292.28   3275.67    3293.92    3275.02   +6.03亿     缺口1未补

2016.09.22(周四)   沪深300(000300) 7575万       899.92亿       3281.47   3291.12    3303.20    3277.98   +12.0亿     向上缺口1

2016.09.21(周三)   沪深300(000300) 5914万       689.58亿       3257.71   3266.64    3270.90    3252.32   -0.85亿

2016.09.20(周二)   沪深300(000300) 5278万       616.26亿       3264.66   3257.40    3265.03    3252.39   -6.59亿

2016.09.19(周一)   沪深300(000300) 5883万       676.78亿       3242.74   3263.12    3264.90    3242.74   -7.13亿

2016.09.14(周三)   沪深300(000300) 7043万       797.81亿       3245.74   3238.73    3255.00    3231.33   -9.63亿

2016.09.13(周二)   沪深300(000300) 6718万       768.63亿       3265.34   3260.33    3269.22    3246.39   -1.08亿

2016.09.12(周一)   沪深300(000300) 1.23亿       1344.57亿      3271.87   3262.60    3276.72    3234.57   -22.2亿

2016.09.09(周五)   沪深300(000300) 8265万手     954.71亿       3339.37   3318.04    3344.95    3318.04   -0.70亿

2016.09.08(周四)   沪深300(000300) 7191万手     837.42亿       3338.01   3339.56    3343.40    3328.23   +12.6亿

2016.09.07(周三)   沪深300(000300) 1.03亿手     1151.20亿      3344.06   3340.82    3357.36    3337.75   +8.35亿

2016.09.06(周二)   沪深300(000300) 9828万手     1183.67亿      3322.02   3342.63    3347.95    3300.13   +12.1亿

2016.09.05(周一)   沪深300(000300) 7829万手     875.31亿元     3321.00   3319.68    3338.42    3314.63   +16.9亿

2016.09.02(周五)   沪深300(000300) 8279万手     993.96亿元     3298.72   3314.11    3320.43    3295.75   +0.48亿

2016.09.01(周四)   沪深300(000300) 8494万手     1009.11亿元    3326.74   3301.58    3329.34    3301.21   +3.93亿

2016.08.31(周三)   沪深300(000300) 7957万手     992.15亿元     3310.56   3327.79    3333.97    3304.66   +5.31亿

2016.08.30(周二)   沪深300(000300) 7572万手     895.13亿元     3310.32   3311.99    3325.12    3304.60   +11.5亿

2016.08.29(周一)   沪深300(000300) 7703万手     880.12亿元     3306.57   3307.78    3315.08    3297.07   +1.50亿

2016.08.26(周五)   沪深300(000300) 8153万手     932.13亿元     3312.50   3307.09    3328.95    3301.74   +4.57亿

2016.08.25(周四)   沪深300(000300) 1.01亿手     1125.78亿元    3314.08   3308.97    3315.08    3279.81   +5.25亿

2016.08.24(周三)   沪深300(000300) 8119万手     940.13亿元     3341.93   3329.86    3348.13    3323.73   +4.42亿

2016.08.23(周二)   沪深300(000300) 9292万手     1085.04亿元    3332.62   3341.83    3359.65    3324.96   +4.65亿

2016.08.22(周一)   沪深300(000300) 1.08亿手     1282.02亿元    3364.68   3336.79    3372.83    3335.47   +1.74亿

2016.08.19(周五)   沪深300(000300) 1.20亿手     1353.83亿元    3358.55   3365.02    3374.04    3341.19   +6.14亿

2016.08.18(周四)   沪深300(000300) 1.42亿手     1722.57亿元    3369.95   3364.49    3394.79    3349.69   +14.8亿

2016.08.17(周三)   沪深300(000300) 1.39亿手     1679.18亿元    3377.77   3373.05    3394.39    3356.92   +17.4亿

2016.08.16(周二)   沪深300(000300) 1.96亿手     2267.85亿元    3403.38   3378.25    3418.69    3372.02   +50.2亿

2016.08.15(周一)   沪深300(000300) 2.21亿手     2588.97亿元    3303.47   3393.42    3417.91    3302.28   +8.55亿(有缺口)

2016.08.12(周五)   沪深300(000300) 1.16亿手     1293.55亿元    3231.81   3294.23    3294.23    3231.14   +6.16亿

2016.08.11(周四)   沪深300(000300) 1.01亿手     1169.96亿元    3239.56   3233.36    3274.03    3232.61   +10.5亿

2016.08.10(周三)   沪深300(000300) 9043万手     1061.57亿元    3255.18   3243.34    3261.86    3242.75   +13.2亿

2016.08.09(周二)   沪深300(000300) 9106万手     1059.24亿元    3232.60   3256.98    3257.33    3229.17   +16.0亿

2016.08.08(周一)   沪深300(000300) 8667万手     1026.38亿元    3199.57   3234.18    3234.48    3187.25

2016.08.05(周五)   沪深300(000300) 7719万手     944.30亿元     3201.35   3205.11    3224.87    3192.86

2016.08.04(周四)   沪深300(000300) 7350万手     869.20亿元     3190.55   3201.29    3201.55    3170.42
